Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
zoo,GA,1,0.9429599177230557,10,24.366286039352417
zoo,GA,2,0.9420182974202506,11,26.089637279510498
zoo,GA,3,0.9416667972502155,13,26.66258192062378
zoo,GA,4,0.9459149734143946,12,24.916436433792114
zoo,GA,5,0.941292108032374,13,25.713088512420654
zoo,SA,1,0.9395137613262345,8,20.72740936279297
zoo,SA,2,0.9354040255045151,11,25.316429138183594
zoo,SA,3,0.9402077211326922,10,20.22124671936035
zoo,SA,4,0.9423840665612175,13,22.650380611419678
zoo,SA,5,0.9418888192913206,14,20.41817331314087
wine,GA,1,0.9694102194102193,7,9.70962905883789
wine,GA,2,0.9740300440300441,8,9.23175573348999
wine,GA,3,0.969605339105339,7,9.519622087478638
wine,GA,4,0.9750485625485625,8,8.630188703536987
wine,GA,5,0.9750485625485625,8,9.205971717834473
wine,SA,1,0.9530550375550375,5,7.283107042312622
wine,SA,2,0.9643597143597142,8,7.638892650604248
wine,SA,3,0.9740300440300441,8,7.308964729309082
wine,SA,4,0.9710452945747063,6,7.576651573181152
wine,SA,5,0.9740300440300441,8,7.707115650177002
lymphography,GA,1,0.8875027489226271,15,9.675551652908325
lymphography,GA,2,0.8970310037044316,21,9.633713245391846
lymphography,GA,3,0.87602321440861,18,9.5856614112854
lymphography,GA,4,0.8748204535935933,19,9.152761697769165
lymphography,GA,5,0.8765324759816059,18,9.489180088043213
lymphography,SA,1,0.833535170036184,21,7.331665277481079
lymphography,SA,2,0.8695348554983443,18,7.126615524291992
lymphography,SA,3,0.8680431301377176,16,7.140616416931152
lymphography,SA,4,0.887678845833004,19,7.1096718311309814
lymphography,SA,5,0.8412743190998769,22,7.213730573654175
ionosphere,GA,1,0.9510108894130193,16,20.460871696472168
ionosphere,GA,2,0.9428753186748675,19,20.12494134902954
ionosphere,GA,3,0.9386478543642962,20,19.149019718170166
ionosphere,GA,4,0.941150923629633,14,18.70148468017578
ionosphere,GA,5,0.9439391285633022,19,19.844356775283813
ionosphere,SA,1,0.928224774139634,17,13.33025074005127
ionosphere,SA,2,0.9517728524022004,15,14.880739688873291
ionosphere,SA,3,0.9271751777507635,21,14.95288872718811
ionosphere,SA,4,0.9432855486351481,11,13.041765689849854
ionosphere,SA,5,0.9397858559340339,18,15.285833358764648
breast_cancer,GA,1,0.9573339689917688,10,22.812296867370605
breast_cancer,GA,2,0.9582499252098812,14,22.89303493499756
breast_cancer,GA,3,0.9552586186711954,18,22.97063636779785
breast_cancer,GA,4,0.9565135515253139,16,21.79176163673401
breast_cancer,GA,5,0.9609981277469334,10,21.030396938323975
breast_cancer,SA,1,0.9637776503946343,13,15.026312589645386
breast_cancer,SA,2,0.9465109944397394,20,15.149603843688965
breast_cancer,SA,3,0.9446939256283,19,15.091928005218506
breast_cancer,SA,4,0.9528629752234303,14,15.674534320831299
breast_cancer,SA,5,0.9544494299720672,11,15.204336643218994
